name,type,latitude,longitude,description,website,opening_hours,phone,admission_fee
Lakshmi Vilas Palace,monument,23.18,72.57,Grand palace,,,,Paid
Mohammadi Mosque,monument,23.188,72.623,Historic mosque,,,,Free
Chanod Temple,monument,23.187,72.58,Hindu temple,,,,Free
Ahmedabad Museum,museum,23.19,72.595,Municipal history museum,,,,Paid
Ambaji Temple,monument,23.195,72.605,Religious temple,,,,Free
Bijnor Gate,monument,23.185,72.63,Historic gate,,,,Free
Manek Chowk,attraction,23.186,72.623,Historic market square,,,,Free
Rani Rupmati Palace,monument,23.188,72.575,Historic palace,,,,Paid
Dada Vali Mosque,monument,23.19,72.62,Historic mosque,,,,Free
Laxmi Villa Palace,monument,23.192,72.588,Palace architecture,,,,Paid
Shree Maa Chhaya Park,Leisure: park,23.21,72.62,Urban green space,,,,Free
Vehlal Jain Temple,monument,23.185,72.618,Jain temple,,,,Free
Jamat Khana Mosque,monument,23.187,72.615,Community mosque,,,,Free
Kota Kacheri,attraction,23.188,72.612,Historic court building,,,,Free
Lal Darwaza,monument,23.185,72.625,Red gate historic landmark,,,,Free
Shahibaug Temple,monument,23.185,72.585,Ancient religious site,,,,Free
Surendrapuri Temple,monument,23.22,72.61,Temple complex,,,,Free
Agian Temple,monument,23.186,72.61,Fire temple,,,,Free
Saint Xavier Church,monument,23.18,72.605,Historic church,,,,Free
Albert Hall,attraction,23.195,72.595,Colonial-era building,,,,Free
Vijaynagar Tower,monument,23.192,72.595,Historic tower,,,,Free
Murali Manohar Temple,monument,23.185,72.61,Krishna temple,,,,Free
Shrimant Yogi Temple,monument,23.188,72.605,Religious site,,,,Free
Balaji Mandir,monument,23.19,72.59,Hindu temple,,,,Free
Paldi Fort Ruins,monument,23.175,72.56,Ancient fort ruins,,,,Free
Iscon Temple,monument,23.21,72.56,Contemporary temple,,,,Free
Sundarvan Garden,Leisure: park,23.17,72.59,Beautiful garden,,,,Free
Sharath Park,Leisure: park,23.195,72.575,Recreational park,,,,Free
Amdavad Ni Gufa,museum,23.17,72.585,Underground art complex,,,,Paid
Daily Exhibition Center,museum,23.185,72.585,Exhibition hall,,,,Paid
Tribal Museum,museum,23.18,72.595,Tribal art and culture,,,,Paid
Heritage Walk Site,attraction,23.186,72.616,Walking tour destination,,,,Free
Sardar Vallabhbhai Patel National Museum,museum,23.185,72.605,Museum dedicated to national leader,,,,Paid
Akhbar Mosque,monument,23.187,72.617,Historic mosque,,,,Free
Gujarati Vikas Mandir Park,Leisure: park,23.195,72.59,Development memorial park,,,,Free
Fort Museum,museum,23.187,72.621,Museum in fort,,,,Paid
